SentenceIndex,WordIndex,Token,Threshold
21,1,자꾸,0.2
21,2,설명을,0.3
21,3,해주어야,0.4
21,4,하니,0.2
21,5,맥빠지는,0.4
21,6,노릇이,0.3
21,7,아닐,0.2
21,8,수,0.1
21,9,없다.,0.3
22,0,그래서,0.3
22,1,다른,0.2
22,2,직업을,0.3
22,3,선택하지,0.4
22,4,않을,0.2
22,5,수,0.1
22,6,없게,0.2
22,7,된,0.1
22,8,나는,0.2
22,9,비행기,0.3
22,10,조종하는,0.4
22,11,법을,0.2
22,12,배웠다.,0.4
23,0,세계의,0.3
23,1,여기저기,0.4
23,2,거의,0.2
23,3,안,0.1
23,4,가본,0.2
23,5,데,0.1
23,6,없이,0.2
23,7,나는,0.2
23,8,날아다녔다.,0.6
24,0,그러니,0.3
24,1,지리는,0.3
24,2,정말로,0.3
24,3,많은,0.2
24,4,도움을,0.3
24,5,준,0.1
24,6,셈이었다.,0.5
25,0,한번,0.2
25,1,슬쩍,0.2
25,2,보고도,0.3
25,3,중국과,0.3
25,4,애리조나를,0.5
25,5,나는,0.2
25,6,구별할,0.3
25,7,수,0.1
25,8,있었던,0.3
25,9,것이다.,0.4
26,0,그것은,0.3
26,1,밤에,0.2
26,2,길을,0.2
26,3,잃었을,0.3
26,4,때,0.1
26,5,아주,0.2
26,6,유용한,0.3
26,7,일이다.,0.4
27,0,나는,0.2
27,1,그리하여,0.4
27,2,일생,0.2
27,3,동안,0.2
27,4,수,0.1
27,5,없이,0.2
27,6,많은,0.2
27,7,점잖은,0.3
27,8,사람들과,0.4
27,9,수많은,0.3
27,10,접촉을,0.3
27,11,가져왔다.,0.5
28,0,어른들,0.3
28,1,틈에서,0.3
28,2,많이,0.2
28,3,살아온,0.3
28,4,것이다.,0.4
29,0,나는,0.2
29,1,가까이서,0.4
29,2,그들을,0.3
29,3,볼,0.1
29,4,수,0.1
29,5,있었다.,0.4
30,0,그렇다고,0.4
30,1,해서,0.2
30,2,그들에,0.3
30,3,대한,0.2
30,4,내,0.1
30,5,생각이,0.3
30,6,나아진,0.3
30,7,건,0.1
30,8,없었다.,0.4
31,0,조금,0.2
31,1,총명해,0.3
31,2,보이는,0.3
31,3,사람을,0.3
31,4,만날,0.2
31,5,때면,0.2
31,6,나는,0.2
31,7,늘,0.1
31,8,간직해,0.3
31,9,오고,0.2
31,10,있던,0.2
31,11,예의,0.2
31,12,나의,0.2
31,13,그림,0.2
31,14,제,0.1
31,15,1호를,0.3
31,16,가지고,0.3
31,17,그,0.1
31,18,사람을,0.3
31,19,시험해,0.3
31,20,보고는,0.3
31,21,했다.,0.3
32,0,그,0.1
32,1,사람이,0.3
32,2,정말로,0.3
32,3,뭘,0.1
32,4,이해할,0.3
32,5,줄,0.1
32,6,아는,0.2
32,7,사람인가,0.4
32,8,알고,0.2
32,9,싶었던,0.3
32,10,것이다.,0.4
33,0,그러나,0.3
33,1,으례,0.2
33,2,그,0.1
33,3,사람은,0.3
33,4,"모자군",0.5
33,5,하고,0.2
33,6,대답하는,0.4
33,7,것이었다.,0.5
34,0,그러면,0.3
34,1,나는,0.2
34,2,보아,0.2
34,3,구렁이도,0.4
34,4,원시림도,0.4
34,5,별들도,0.3
34,6,그에게,0.3
34,7,이야기하지,0.5
34,8,않았다.,0.4
35,0,그가,0.2
35,1,이해할,0.3
35,2,수,0.1
35,3,있는,0.2
35,4,이야기를,0.4
35,5,했다.,0.3
36,0,브리지니,0.4
36,1,골프니,0.3
36,2,정치니,0.3
36,3,넥타이니,0.4
36,4,하는,0.2
36,5,것들에,0.3
36,6,대해,0.2
36,7,이야기하는,0.5
36,8,것이다.,0.4
37,0,그러면,0.3
37,1,그,0.1
37,2,어른은,0.3
37,3,매우,0.2
37,4,착실한,0.3
37,5,청년을,0.3
37,6,알게,0.2
37,7,된,0.1
37,8,것을,0.2
37,9,몹시,0.2
37,10,기뻐했다.,0.5
38,0,2,0.1
38,1,그래서,0.3
38,2,여섯,0.2
38,3,해,0.1
38,4,전에,0.2
38,5,사하라,0.3
38,6,사막에서,0.4
38,7,비행기가,0.4
38,8,고장을,0.3
38,9,일으킬,0.3
38,10,때까지,0.3
38,11,나는,0.2
38,12,마음을,0.3
38,13,털어놓고,0.4
38,14,진정,0.2
38,15,어린,0.2
38,16,이야기를,0.4
38,17,할,0.1
38,18,수,0.1
38,19,있는,0.2
38,20,상대를,0.3
38,21,갖지,0.2
38,22,못한,0.2
38,23,채,0.1
38,24,홀로,0.2
38,25,살아왔다.,0.5
39,0,내,0.1
39,1,비행기의,0.4
39,2,모터가,0.3
39,3,한,0.1
39,4,군데,0.2
39,5,부서져,0.3
39,6,버린,0.2
39,7,것이다.,0.4
40,0,기사도,0.3
40,1,승객도,0.3
40,2,없었으므로,0.5
40,3,나는,0.2
40,4,혼자서,0.3
40,5,어려운,0.3
40,6,수선을,0.3
40,7,시도해,0.3
40,8,보려는,0.3
40,9,채비를,0.3
40,10,갖추었다.,0.5
41,0,그것은,0.3
41,1,나에게는,0.4
41,2,죽느냐,0.3
41,3,사느냐의,0.4
41,4,문제였다.,0.5
42,0,이렛날,0.3
42,1,동안,0.2
42,2,마실,0.2
42,3,수,0.1
42,4,있는,0.2
42,5,물밖에,0.3
42,6,남아,0.2
42,7,있지,0.2
42,8,않았다.,0.4
43,0,첫날,0.2
43,1,밤,0.1
43,2,나는,0.2
43,3,사람,0.2
43,4,사는,0.2
43,5,고장에서,0.4
43,6,수천,0.2
43,7,마일,0.2
43,8,떨어진,0.3
43,9,사막에서,0.4
43,10,잠이,0.2
43,11,들었다.,0.4
44,0,대양,0.2
44,1,한가운데에,0.5
44,2,떠,0.1
44,3,있는,0.2
44,4,뗏목,0.2
44,5,위의,0.2
44,6,표류자보다,0.5
44,7,나는,0.2
44,8,더,0.1
44,9,고립되어,0.4
44,10,있었다.,0.4
45,0,그러니,0.3
45,1,해가,0.2
45,2,뜰,0.1
45,3,무렵,,0.3
45,4,야릇한,0.3
45,5,목소리가,0.4
45,6,나를,0.2
45,7,깨웠을,0.3
45,8,때,0.1
45,9,내가,0.2
45,10,얼마나,0.3
45,11,놀랐을지,0.4
45,12,여러분은,0.4
45,13,상상할,0.3
45,14,수,0.1
45,15,있을,0.2
45,16,것이다.,0.4
46,0,그,0.1
46,1,목소리는,0.4
46,2,말했다.,0.4
47,0,"양,0.2
47,1,한,0.1
47,2,마리를,0.3
47,3,그려,0.2
47,4,줘!",0.3
48,0,"뭐라고?",0.6
49,0,"양,0.2
49,1,한,0.1
49,2,마리를,0.3
49,3,그려,0.2
49,4,줘.",0.3
50,0,나는,0.2
50,1,기겁을,0.3
50,2,해서,0.2
50,3,후다닥,0.3
50,4,일어섰다.,0.5
51,0,눈을,0.2
51,1,막,0.1
51,2,비벼,0.2
51,3,보았다.,0.4
52,0,사방을,0.3
52,1,잘,0.1
52,2,살펴보았다.,0.6
53,0,그랬더니,0.4
53,1,정말로,0.3
53,2,이상하게,0.4
53,3,생긴,0.2
53,4,조그만,0.3
53,5,사내,0.2
53,6,아이가,0.3
53,7,나를,0.2
53,8,심각한,0.3
53,9,얼굴로,0.3
53,10,바라보고,0.4
53,11,있는,0.2
53,12,것이었다.,0.5
54,0,훗날,0.2
54,1,내가,0.2
54,2,그를,0.2
54,3,그린,0.2
54,4,그림,0.2
54,5,중에서,0.3
54,6,가장,0.2
54,7,잘된,0.2
54,8,것이,0.2
54,9,여기,0.2
54,10,있다.,0.3
55,0,그러나,0.3
55,1,물론,0.2
55,2,나의,0.2
55,3,그림은,0.3
55,4,모델보다는,0.5
55,5,훨씬,0.2
55,6,덜,0.1
55,7,매력적이다.,0.6
56,0,그것은,0.3
56,1,내,0.1
56,2,잘못이,0.3
56,3,아니다.,0.4
57,0,여섯,0.2
57,1,살,0.1
57,2,적에,0.2
57,3,어른들이,0.4
57,4,화가로,0.3
57,5,출세할,0.3
57,6,수,0.1
57,7,없다고,0.3
57,8,나를,0.2
57,9,낙심시켰기,0.5
57,10,때문에,0.3
57,11,나는,0.2
57,12,속이,0.2
57,13,보이지,0.3
57,14,않거나,0.3
57,15,보이거나,0.4
57,16,하는,0.2
57,17,보아,0.2
57,18,구렁이,0.3
57,19,이외에는,0.4
57,20,아무것도,0.4
57,21,그리는,0.3
57,22,연습을,0.3
57,23,하지,0.2
57,24,않았으니까,0.5
57,25,말이다.,0.4
58,0,어쨌든,0.3
58,1,나는,0.2
58,2,그의,0.2
58,3,느닷없는,0.4
58,4,출현에,0.3
58,5,너무도,0.3
58,6,놀라서,0.3
58,7,눈을,0.2
58,8,휘둥그렇게,0.5
58,9,뜨고,0.2
58,10,그를,0.2
58,11,바라보았다.,0.6
59,0,내가,0.2
59,1,사람,0.2
59,2,사는,0.2
59,3,고장에서,0.4
59,4,수천,0.2
59,5,마일,0.2
59,6,떨어진,0.3
59,7,곳에,0.2
59,8,있었다는,0.4
59,9,사실을,0.3
59,10,여러분은,0.4
59,11,잊지,0.2
59,12,말아,0.2
59,13,주길,0.2
59,14,바란다.,0.4
60,0,그런데,0.3
60,1,그,0.1
60,2,어린아이는,0.5
60,3,길을,0.2
60,4,잃은,0.2
60,5,것,0.1
60,6,같지도,0.3
60,7,않아,0.2
60,8,보였고,0.3
60,9,피곤과,0.3
60,10,배고픔과,0.4
60,11,목마름과,0.4
60,12,두려움에,0.4
60,13,시달리는,0.4
60,14,것,0.1
60,15,같아,0.2
60,16,보이지도,0.4
60,17,않았다.,0.4
61,0,사람,0.2
61,1,사는,0.2
61,2,고장에서,0.4
61,3,수천,0.2
61,4,마일,0.2
61,5,떨어진,0.3
61,6,사막,0.2
61,7,한가운데에서,0.6
61,8,길을,0.2
61,9,잃은,0.2
61,10,어린아이,0.4
61,11,같은,0.2
61,12,구석이라고는,0.6
61,13,없었다.,0.4
62,0,가까스로,0.4
62,1,정신을,0.3
62,2,차리고,0.3
62,3,내가,0.2
62,4,말을,0.2
62,5,걸었다.,0.4
63,0,"그런데......,1
64,0,왜,0.1
64,1,그러지?",0.5
65,0,그러자,0.3
65,1,그는,0.2
65,2,아주,0.2
65,3,심각한,0.3
65,4,이야기나,0.4
65,5,되는,0.2
65,6,듯이,0.2
65,7,소곤소곤,0.4
65,8,다시,0.2
65,9,되풀이해,0.4
65,10,말했다.,0.4
66,0,"부탁이야......,1
67,0,양을,0.2
67,1,한,0.1
67,2,마리,0.2
67,3,그려,0.2
67,4,줘......",0.8
68,0,너무도,0.3
68,1,인상,0.2
68,2,깊은,0.2
68,3,신비스러운,0.5
68,4,일을,0.2
68,5,당하게,0.3
68,6,되면,0.2
68,7,누구나,0.3
68,8,거기에,0.3
68,9,순순히,0.3
68,10,따르게,0.3
68,11,마련이다.,0.5
69,0,사람,0.2
69,1,사는,0.2
69,2,고장에서,0.4
69,3,수천,0.2
69,4,마일,0.2
69,5,떨어진,0.3
69,6,곳에서,0.3
69,7,죽음의,0.3
69,8,위험을,0.3
69,9,마주하고,0.4
69,10,있는,0.2
69,11,중에,0.2
69,12,참,0.1
69,13,엉뚱한,0.3
69,14,짓이라고,0.4
69,15,느껴지기는,0.5
69,16,했지만,0.3
69,17,나는,0.2
69,18,포켓에서,0.4
69,19,종이,0.2
69,20,한,0.1
69,21,장과,0.2
69,22,만년필을,0.4
69,23,꺼냈다.,0.4
70,0,그러나,0.3
70,1,내가,0.2
70,2,공부한,0.3
70,3,것은,0.2
70,4,지리,,0.3
70,5,역사,,0.3
70,6,계산,,0.3
70,7,문법이라는,0.5
70,8,생각이,0.3
70,9,나서,0.2
70,10,그,0.1
70,11,어린,0.2
70,12,소년에게,,0.5
70,13,나는,0.2
70,14,그림을,0.3
70,15,그릴,0.2
70,16,줄,0.1
70,17,모른다고(조금,0.7
70,18,기분이,0.3
70,19,나빠져서),0.5
70,20,말했다.,0.4
71,0,그는,0.2
71,1,대답했다.,0.5
72,0,"괜찮아.,0.5
73,0,양을,0.2
73,1,한,0.1
73,2,마리,0.2
73,3,그려,0.2
73,4,줘.",0.3
74,0,양은,0.2
74,1,한,0.1
74,2,번도,0.2
74,3,그려,0.2
74,4,본,0.1
74,5,적이,0.2
74,6,없었으므로,0.5
74,7,나는,0.2
74,8,그를,0.2
74,9,위해,0.2
74,10,내가,0.2
74,11,그릴,0.2
74,12,수,0.1
74,13,있는,0.2
74,14,단,0.1
74,15,두,0.1
74,16,가지,0.2
74,17,그림,0.2
74,18,중의,0.2
74,19,하나를,0.3
74,20,다시,0.2
74,21,그려,0.2
74,22,주었다.,0.4
75,0,속이,0.2
75,1,보이지,0.3
75,2,않는,0.2
75,3,보아,0.2
75,4,구렁이의,0.4
75,5,그림,0.2
75,6,말이다.,0.4
76,0,그러자,0.3
76,1,그,0.1
76,2,어린,0.2
76,3,소년은,,0.4
76,4,"아냐,,0.4
76,5,아냐,,0.3
76,6,보아,0.2
76,7,구렁이,0.3
76,8,속의,0.2
76,9,코끼리는,0.4
76,10,싫어.,0.3
77,0,보아,0.2
77,1,구렁이는,0.4
77,2,아주,0.2
77,3,위험해.,0.4
78,0,그리고,0.3
78,1,코끼리는,0.4
78,2,아주,0.2
78,3,거추장스럽고.,0.7
79,0,내가,0.2
79,1,사는,0.2
79,2,곳은,0.2
79,3,아주,0.2
79,4,조그맣거든.,0.6
80,0,내게는,0.3
80,1,양이,0.2
80,2,필요해.,0.4
81,0,양을,0.2
81,1,그려,0.2
81,2,줘"라고,0.4
81,3,말하는,0.3
81,4,것이었다.,0.5
82,0,그래서,0.3
82,1,나는,0.2
82,2,양을,0.2
82,3,그렸다.,0.4
83,0,그는,0.2
83,1,주의,0.2
83,2,깊게,0.2
83,3,바라보더니,,0.6
83,4,"안돼!,0.4
84,0,그,0.1
84,1,양은,0.2
84,2,벌써,0.2
84,3,병이,0.2
84,4,들었는,0.3
84,5,걸"하고,0.4
84,6,말했다.,0.4
85,0,"다시,0.3
85,1,하나,0.2
85,2,그려,0.2
85,3,줘.",0.3
86,0,나는,0.2
86,1,또,0.1
86,2,그렸다.,0.4
87,0,내,0.1
87,1,친구는,0.3
87,2,너그러운,0.4
87,3,모습으로,0.4
87,4,상냥한,0.3
87,5,미소를,0.3
87,6,지었다.,0.4
88,0,"봐......,0.8
89,0,이건,0.2
89,1,양이,0.2
89,2,아니라,0.3
89,3,염소잖아.,0.5
90,0,뿔이,0.2
90,1,있으니까......",1
91,0,그래서,0.3
91,1,난,0.1
91,2,또다시,0.3
91,3,그렸다.,0.4
92,0,그러나,0.3
92,1,그것도,0.3
92,2,앞의,0.2
92,3,것들과,0.3
92,4,마찬가지로,0.5
92,5,거절을,0.3
92,6,당했다.,0.4
93,0,"그건,0.3
93,1,너무,0.2
93,2,늙었어.,0.4
94,0,난,0.1
94,1,오래,0.2
94,2,살,0.1
94,3,수,0.1
94,4,있는,0.2
94,5,양을,0.2
94,6,갖고,0.2
94,7,싶어.",0.4
95,0,나는,0.2
95,1,모터의,0.3
95,2,분해를,0.3
95,3,서둘러야,0.4
95,4,했으므로,0.4
95,5,더,0.1
95,6,이상,0.2
95,7,참지,0.2
95,8,못하고,0.3
95,9,여기,0.2
95,10,있는,0.2
95,11,이,0.1
95,12,그림을,0.3
95,13,되는,0.2
95,14,대로,0.2
95,15,끄적거려,0.4
95,16,놓고는,0.3
95,17,한,0.1
95,18,마디,0.2
95,19,툭,0.1
95,20,던졌다.,0.4
96,0,"이건,0.3
96,1,상자야.,0.4
97,0,네가,0.2
97,1,원하는,0.3
97,2,양은,0.2
97,3,그,0.1
97,4,안에,0.2
97,5,있어.",0.4
98,0,그러자,0.3
98,1,나의,0.2
98,2,어린,0.2
98,3,심판관의,0.4
98,4,얼굴이,0.3
98,5,환히,0.2
98,6,밝아지는,0.4
98,7,걸,0.1
98,8,보고,0.2
98,9,나는,0.2
98,10,새삼,0.2
98,11,놀라지,0.3
98,12,않을,0.2
98,13,수,0.1
98,14,없었다.,0.4
99,0,"이게,0.3
99,1,바로,0.2
99,2,내가,0.2
99,3,원하던,0.3
99,4,거야!,0.3
100,0,이,0.1
100,1,양에게,0.3
100,2,풀을,0.2
100,3,많이,0.2
100,4,주어야,0.3
100,5,해?",0.3
101,0,"왜,0.2
101,1,그런,0.2
101,2,걸,0.1
101,3,묻지?",0.4
102,0,"내가,0.3
102,1,사는,0.2
102,2,곳은,0.2
102,3,아주,0.2
102,4,작거든......",1
103,0,"거기,0.3
103,1,있는,0.2
103,2,걸로,0.2
103,3,아마,0.2
103,4,충분할,0.3
103,5,거다.,0.3
104,0,네게,0.2
104,1,준,0.1
104,2,건,0.1
104,3,아주,0.2
104,4,작은,0.2
104,5,양이니까.",0.6
105,0,그는,0.2
105,1,고개를,0.3
105,2,숙여,0.2
105,3,그림을,0.3
105,4,들여다보았다.,0.7
106,0,"그다지,0.4
106,1,작지도,0.3
106,2,않은,0.2
106,3,걸.,0.2
107,0,어머!,0.3
108,0,잠들었네......",1
109,0,이렇게,0.3
109,1,해서,0.2
109,2,나는,0.2
109,3,어린,0.2
109,4,왕자를,0.3
109,5,알게,0.2
109,6,되었다.,0.4
110,0,3,0.1
110,1,그가,0.2
110,2,어디서,0.3
110,3,왔는지를,0.4
110,4,아는,0.2
110,5,데는,0.2
110,6,오랜,0.2
110,7,시일이,0.3
110,8,걸렸다.,0.4
111,0,어린,0.2
111,1,왕자는,0.3
111,2,내게,0.2
111,3,많은,0.2
111,4,것을,0.2
111,5,물어보면서도,0.6
111,6,내,0.1
111,7,질문에는,0.4
111,8,귀를,0.2
111,9,기울이는,0.4
111,10,것,0.1
111,11,같지,0.2
111,12,않았다.,0.4
112,0,그가,0.2
112,1,우연히,0.3
112,2,한,0.1
112,3,말들이,0.3
112,4,차츰차츰,0.4
112,5,모든,0.2
112,6,것을,0.2
112,7,알게,0.2
112,8,해주었다.,0.5
113,0,가령,,0.3
113,1,내,0.1
113,2,비행기를,0.4
113,3,처음으로,0.4
113,4,보았을,0.3
113,5,때(내,0.3
113,6,비행기는,0.4
113,7,그리지,0.3
113,8,않으련다.,0.5
114,0,그것은,0.3
114,1,나에게는,0.4
114,2,너무도,0.3
114,3,복잡한,0.3
114,4,그림이니까),0.6
114,5,그는,0.2
114,6,나에게,0.3
114,7,이렇게,0.3
114,8,물었던,0.3
114,9,것이다.,0.4
115,0,"이,0.2
115,1,물건은,0.3
115,2,도대체,0.3
115,3,뭐야?",0.4
116,0,"그건,0.3
116,1,물건이,0.3
116,2,아니야.,0.4
117,0,그건,0.2
117,1,날아다니는,0.5
117,2,거야.,0.3
118,0,비행기지.,0.5
119,0,내,0.1
119,1,비행기야.",0.6
120,0,내가,0.2
120,1,날아다닌다는,0.6
120,2,것을,0.2
120,3,그에게,0.3
120,4,가르쳐,0.3
120,5,주면서,0.3
120,6,나는,0.2
120,7,자랑스러워졌다.,0.8
121,0,그랬더니,0.4
121,1,그는,0.2
121,2,소리쳤다.,0.5
122,0,"뭐!,0.3
123,0,아저씨가,0.4
123,1,하늘에서,0.4
123,2,떨어졌다구?",0.7
124,0,"그래.",0.5
125,0,나는,0.2
125,1,겸손하게,0.4
125,2,대답했다.,0.5
126,0,"야!,0.3
127,0,그거,0.2
127,1,참,0.1
127,2,재미있다......",1
128,0,그리고는,0.4
128,1,어린,0.2
128,2,왕자는,0.3
128,3,유쾌하게,0.4
128,4,까르르,0.3
128,5,웃어대었으므로,0.7
128,6,나는,0.2
128,7,기분이,0.3
128,8,몹시,0.2
128,9,언짢아졌다.,0.6
129,0,내,0.1
129,1,불행을,0.3
129,2,진지하게,0.4
129,3,생각해,0.3
129,4,주지,0.2
129,5,않은,0.2
129,6,것이,0.2
129,7,나는,0.2
129,8,싫기,0.2
129,9,때문이다.,0.5
130,0,"그럼,0.3
130,1,아저씨도,0.4
130,2,하늘에서,0.4
130,3,왔잖아!,0.4
131,0,어느,0.2
131,1,별에서,0.3
131,2,왔어?",0.4
132,0,나는,0.2
132,1,문득,0.2
132,2,그의,0.2
132,3,존재의,0.3
132,4,신비로움을,0.5
132,5,이해하는,0.4
132,6,데,0.1
132,7,한,0.1
132,8,줄기,0.2
132,9,빛이,0.2
132,10,비치는,0.3
132,11,걸,0.1
132,12,깨닫고,0.3
132,13,갑자기,0.3
132,14,물었다.",0.5
133,0,그럼,0.2
133,1,넌,0.1
133,2,다른,0.2
133,3,별에서,0.3
133,4,왔니?",0.4
134,0,그러나,0.3
134,1,그는,0.2
134,2,대답을,0.3
134,3,하지,0.2
134,4,않고,0.2
134,5,내,0.1
134,6,비행기를,0.4
134,7,바라보며,0.4
134,8,신중한,0.3
134,9,빛으로,0.3
134,10,고개를,0.3
134,11,끄덕였다.,0.5
135,0,"저걸,0.3
135,1,타고서는,0.4
135,2,멀리서,0.3
135,3,오지는,0.3
135,4,못했겠군......",1
136,0,그리고는,0.4
136,1,한참,0.2
136,2,동안,0.2
136,3,깊이,0.2
136,4,생각에,0.3
136,5,잠기더니,0.4
136,6,포켓에서,0.4
136,7,내가,0.2
136,8,그려,0.2
136,9,준,0.1
136,10,양의,0.2
136,11,그림을,0.3
136,12,꺼내서는,0.4
136,13,그,0.1
136,14,보물을,0.3
136,15,열심히,0.3
136,16,들여다보았다.,0.7
137,0,"다른,0.3
137,1,별들",0.3
137,2,이라는,,0.4
137,3,그가,0.2
137,4,슬쩍,0.2
137,5,내비친,0.3
137,6,비밀에,0.3
137,7,내가,0.2
137,8,얼마나,0.3
137,9,호기심으로,0.5
137,10,몸이,0.2
137,11,달았겠는가를,0.6
137,12,여러분은,0.4
137,13,짐작하리라.,0.6
138,0,"얘,,0.3
138,1,너는,0.2
138,2,어디서,0.3
138,3,왔지?,0.3
139,0,네,0.1
139,1,집이란,0.3
139,2,어디를,0.3
139,3,두고,0.2
139,4,하는,0.2
139,5,말이니?,0.4
140,0,내,0.1
140,1,양을,0.2
140,2,어,0.1
140,3,디로,0.2
140,4,데려가려는,0.5
140,5,거니?",0.4
141,0,그는,0.2
141,1,말없이,0.3
141,2,생각에,0.3
141,3,잠기더니,0.4
141,4,대답했다.,0.5
142,0,"아저씨가,0.5
142,1,준,0.1
142,2,상자가,0.3
142,3,밤에는,0.3
142,4,집이,0.2
142,5,될,0.1
142,6,테니까,0.3
142,7,잘,0.1
142,8,됐어.",0.4
143,0,"그렇고,0.4
143,1,말고,,0.3
143,2,그리고,0.3
143,3,네가,0.2
143,4,착하게만,0.4
143,5,하면,,0.3
143,6,밤에,0.2
143,7,양을,0.2
143,8,매,0.1
143,9,놓을,0.2
143,10,수,0.1
143,11,있는,0.2
143,12,고,0.1
143,13,삐를,0.2
143,14,줄께.,0.3
144,0,말뚝도,0.3
144,1,주고.",0.4
145,0,그,0.1
145,1,제안은,0.3
145,2,어린,0.2
145,3,왕자를,0.3
145,4,몹시,0.2
145,5,놀라게,0.3
145,6,한,0.1
145,7,듯했다.,0.4
146,0,"매,0.2
146,1,놓다니!,0.4
147,0,참,0.1
147,1,이상한,0.3
147,2,생각이네......",1
148,0,"하지만,0.4
148,1,매,0.1
148,2,놓지,0.2
148,3,않으면,0.3
148,4,아무,0.2
148,5,데나,0.2
148,6,가서,0.2
148,7,길을,0.2
148,8,잃어버릴,0.4
148,9,수도,0.2
148,10,있을,0.2
148,11,텐데....,0.6
149,0,..",0.3
150,0,그러자,0.3
150,1,내,0.1
150,2,친구는,0.3
150,3,다시,0.2
150,4,까르르,0.3
